ds,y,yhat,yhat_lower,yhat_upper,anomaly
2023-08-21,145.72197916666667,146.36132237681625,127.22797568876774,167.28523732781954,False
2023-08-22,147.62458333333333,146.01135107095988,126.93371586461474,166.73606298845363,False
2023-08-23,146.99760416666666,145.61917127243342,126.26919622683964,165.3736287159249,False
2023-08-24,147.04739583333333,145.41985169340822,125.98581986344753,164.7500592761792,False
2023-08-25,144.64833333333334,145.27552396707625,125.58443418892561,164.2397699386203,False
2023-08-26,145.33479166666666,144.5051195277305,125.57858381921766,164.16929060710999,False
2023-08-27,146.681875,143.20292695536685,124.14887814130638,162.83892711960073,False
2023-08-28,144.14076923076922,142.1129168145845,121.7200349261522,160.67177636099214,False
2023-08-29,145.51479166666667,141.0041672905426,121.60930766053609,160.18601809968226,False
2023-08-30,143.51822916666666,139.87309105738498,118.84374780683224,159.63710081230727,False
2023-08-31,137.96166666666667,138.97042538379404,119.59612763763727,156.317173781687,False
2023-09-01,127.6909375,138.17406577520978,119.66470780074219,157.25023095126534,False
2023-09-02,122.82197916666667,136.8184191576747,115.88937855673181,155.01830891135782,False
2023-09-03,123.77052083333332,135.01257179484634,114.83499105014441,154.25545513096085,False
2023-09-04,127.49916666666667,133.5142283363534,115.69398862430249,153.94993111588178,False
2023-09-05,132.089375,132.10476475741388,112.55274974215276,152.12791611775825,False
2023-09-06,137.09135416666666,130.79110493982432,111.2035751198572,150.43166399322155,False
2023-09-07,142.84125,129.83239184134004,108.45693987582428,149.76656940663685,False
2023-09-08,147.68510416666666,129.11254189893188,109.50789362446851,148.66032388938706,False
2023-09-09,151.3746875,127.96936620955657,108.21043932531036,148.242184660362,True
2023-09-10,155.81489583333334,126.51256021684738,107.78001691493158,146.54299481982417,True
2023-09-11,158.90708333333333,125.67419605662408,106.56056676993927,145.87000171901258,True
2023-09-12,133.12385416666666,125.05370241562946,105.6971714860806,143.67976465614993,False
2023-09-13,111.90322916666666,124.64976817465106,105.00399720161955,142.69707071198718,False
2023-09-14,90.13541666666667,124.71041798398758,104.67220863570626,144.7159466539362,True
2023-09-15,87.02177083333333,125.1057099208854,106.67536643637898,143.42119143900385,True
2023-09-16,88.219375,125.15706437347725,106.39771434514338,145.57998387029377,True
2023-09-17,93.23197916666668,124.95552234233489,106.0645656321514,143.75014796446328,True
2023-09-18,96.5734375,125.2358899246843,106.4228506446834,145.12442419535105,True
2023-09-19,93.78791666666666,125.75210943538164,105.64038606375334,146.00886748517664,True
2023-09-20,87.06885416666667,126.47956196075108,106.18051960403899,145.79848996204925,True
2023-09-21,73.34385416666667,127.64226477811368,106.48104256132696,147.47987247715892,True
2023-09-22,74.72729166666666,129.08604236310418,109.24371928457532,148.04292538103087,True
2023-09-23,79.46708333333333,130.1083424048819,109.46667411273638,150.8669321324602,True
2023-09-24,85.33104166666666,130.7769844975241,110.68596280076623,149.04280993865592,True
2023-09-25,91.2575,131.80478758491728,113.24850066157629,150.77239648706706,True
2023-09-26,95.80197916666667,132.92540600750988,112.92128519839807,151.756726938502,True
2023-09-27,98.9584375,134.0960686698551,114.01467617503177,152.92553054197955,True
2023-09-28,104.99270833333333,135.52517505192606,116.73114183881516,154.55266620884956,True
2023-09-29,108.03197916666666,137.0458178698932,116.69455828733047,155.67239337108805,True
2023-09-30,114.876875,137.94589589076662,117.97573088628833,157.69683425708607,True
2023-10-01,125.77416666666666,138.28709783841052,119.31007182912398,157.7422871525345,False
2023-10-02,130.56572916666667,138.779698078141,118.71426943188162,156.1730514568587,False
2023-10-03,125.45864583333334,139.15849000333387,119.07329952988263,158.70005340253536,False
2023-10-04,120.7925,139.3855492728201,119.77546215051235,159.6963705038698,False
2023-10-05,120.6953125,139.67777985978964,119.59774544289962,159.52671867378677,False
2023-10-06,123.335625,139.88031357855232,121.54867738744699,160.5603655527186,False
2023-10-07,125.84083333333332,139.29642905432414,119.17509328282927,158.51966782138228,False
2023-10-08,125.81291666666665,138.00627507400787,117.56529359754404,156.22954363466675,False
2023-10-09,126.33322916666667,136.74134444929166,117.46281602990479,155.65995142037272,False
2023-10-10,124.86135416666667,135.26003107399308,115.97494109537864,155.63565072797408,False
2023-10-11,121.40989583333334,133.54997023802093,114.392723226079,153.62838116983482,False
2023-10-12,119.11145833333335,131.8551240421902,112.53335337587953,150.71042109780325,False
2023-10-13,111.41562499999999,130.04869222722033,109.77996484270993,149.68041609405108,False
2023-10-14,105.68447916666666,127.46252456995485,106.49524354503919,147.59701885379823,True
2023-10-15,104.77270833333334,124.20533028016692,104.85225573523206,143.96112735819062,True
2023-10-16,105.2,121.03664109383844,100.83593492587732,140.35876137348282,False
2023-10-17,105.41645833333332,117.74187114116236,97.64946175371654,136.62474891988302,False
2023-10-18,105.95666666666666,114.33418364854045,94.33285858917768,134.75262103697733,False
2023-10-19,108.99145833333334,111.0811356969868,91.8890672894634,131.0437270951677,False
2023-10-20,106.32,107.8771899079229,88.6703127003512,129.05773690660843,False
2023-10-21,100.68510416666668,104.07277676575947,85.8904223895015,124.94382861131486,False
2023-10-22,102.72604166666667,99.79220941106351,79.91446730861283,120.58332716098602,False
2023-10-23,104.14541666666666,95.80741271925896,74.52729802022951,115.2802851427354,False
2023-10-24,101.00354166666666,91.91281348933241,72.26095139208086,110.98625580411291,False
2023-10-25,93.2083505154639,88.12710409489723,67.8682416516511,108.28328511550714,False
2023-10-26,93.94906250000001,84.7198516944988,65.40612204496423,104.78853059562765,False
2023-10-27,95.90052083333335,81.58404123481576,61.8932651060358,100.72845145598228,False
2023-10-28,98.13791666666667,78.06523395084322,57.7531580088933,95.82100999000276,True
2023-10-29,97.15458333333333,74.27963983654058,55.31873038971211,92.88398989575963,True
